#ID;#Singer;#Song;#Year;#Language
100429;Connor, Sarah;Alles in mir will zu Dir;2021;Deutsch
100430;Connor, Sarah;Anorak;2015;Deutsch
100431;Connor, Sarah;Augen auf;2015;Deutsch
100432;Connor, Sarah;Bedingungslos;2015;Deutsch
100433;Connor, Sarah;Bonnie und Clyde;2016;Deutsch
100434;Connor, Sarah;Bye Bye;2020;Deutsch
100435;Connor, Sarah;Das leben ist schoen;2015;Deutsch
100436;Connor, Sarah;Deutsches Liebeslied;2015;Deutsch
100437;Connor, Sarah;Drachen;2019;Deutsch
100438;Connor, Sarah;Flugzeug aus Papier (Fuer Emmy);2019;Deutsch
100439;Connor, Sarah;Halt mich;2015;Deutsch
100440;Connor, Sarah;Hoer auf deinen Bauch;2019;Deutsch
100441;Connor, Sarah;Ich wuensch dir;2019;Deutsch
100442;Connor, Sarah;Keiner ist wie du;2014;Deutsch
100443;Connor, Sarah;Kommst du mit ihr;2016;Deutsch
100444;Connor, Sarah;Meine Insel;2015;Deutsch
100445;Connor, Sarah;Mit vollen Haenden;2015;Deutsch
100446;Connor, Sarah;Ruiniert;2019;Deutsch
100447;Connor, Sarah;Sind wir bereit?;2020;Deutsch
100448;Connor, Sarah;Stark;2021;Deutsch
100449;Connor, Sarah;Vincent;2019;Deutsch
100450;Connor, Sarah;Vincent (Alle Farben Remix);2019;Deutsch
100451;Connor, Sarah;Wie geht gluecklich;2015;Deutsch
100452;Connor, Sarah;Wie schoen du bist;2015;Deutsch
100453;Connor, Sarah;Zuckerpuppen;2014;Deutsch
100454;Cora;Amsterdam;1984;Deutsch
100455;Cora;Besonders, wenn Weihnachten ist;2011;Deutsch
100456;Cordalis, Costa;Anita;1977;Deutsch
100457;Cordalis, Costa;Viva La Noche;1996;Deutsch
100458;Cornelius, Peter;Der Kaffee ist fertig;1980;Deutsch
100459;Cornelius, Peter;Du Entschuldige I Kenn Di;1980;Deutsch
100460;Cornelius, Peter;Es ist nie zu spaet;1980;Deutsch
100461;Cornelius, Peter;Reif fuer die Insel;1981;Deutsch
100462;Cornelius, Peter;Segel im Wind;1984;Deutsch
100463;Cornelius, Peter;Streicheleinheiten;1982;Deutsch
100464;Cornelius, Peter;Zufaellig;1984;Deutsch
100465;Crazy Farmers;Wir brauchen kein ibiza (sommer aufm dorf);2020;Deutsch
100466;Cro;Bye Bye;2015;Deutsch
100467;Cro;Du;2012;Deutsch
100468;Cro;Easy;2012;Deutsch
100469;Cro;Einmal um die Welt;2012;Deutsch
100470;Cro;Traum;2014;Deutsch
100471;Cro;Whatever;2013;Deutsch
100472;Cronauer, Chris;Mega;2020;Deutsch
100473;Culcha Candela;Berlin City Girl;2010;Deutsch
100474;Culcha Candela;Hamma!;2007;Deutsch
100475;Culcha Candela;Monsta;2009;Deutsch
100476;Culcha Candela;Von allein;2012;Deutsch
100477;Culcha Candela;Wayne;2015;Deutsch
100478;Curse;Bis zum Schluss;2008;Deutsch
100479;Dall, Karl;Millionen Frauen lieben mich;1987;Deutsch
100480;DAmico, Chiara;Eine Nacht;2020;Deutsch
100481;Damien, Prince;Gluecksmoment;2016;Deutsch
100482;Danzer, Georg;Lass mi amoi no dSunn aufgeh segn;1976;Deutsch
100483;Danzer, Georg;Weisse pferde;1984;Deutsch
100484;Das Lumpenpack;Kann es sein, dass du dumm bist?;2022;Deutsch
100485;De Angelo, Nino;Atemlos;1984;Deutsch
100486;De Angelo, Nino;Doch Traenen wirst Du niemals sehen;1987;Deutsch
100487;De Angelo, Nino;Engel der Nacht;1987;Deutsch
100488;De Angelo, Nino;Gesegnet und verflucht;2020;Deutsch
100489;De Angelo, Nino;Ich sterbe nicht nochmal;1983;Deutsch
100490;De Angelo, Nino;Jenseits Von Eden;1983;Deutsch
100491;De Angelo, Nino;Jenseits von eden (Stereoact remix);2020;Deutsch
100492;De Boore;Rosemarie (Apres Ski Mix);2012;Deutsch
100493;De Boore;Rosemarie (Apres Ski Mix) (feat DJ Paraiso);2012;Deutsch
100494;De Boore;Rut Sin De Ruse;2004;Deutsch
100495;de Jong, Eloy;Bist dus oder bist dus nicht;2020;Deutsch
100496;de Jong, Eloy;Egal was andere sagen;2018;Deutsch
100497;de Jong, Eloy;Egal was andere sagen (remix);2018;Deutsch
100498;de Jong, Eloy;Liebe kann so weh tun;2018;Deutsch
100499;de Luxe, Felix;Taxi nach Paris;1984;Deutsch
100500;De Randfichten;Lebt denn der alte Holzmichl noch?;2004;Deutsch
100501;Deichkind;Bueck dich hoch;2012;Deutsch
100502;Deichkind;Remmidemmi (Yippie Yippie Yeah);2006;Deutsch
100503;DeLange, Ilse;Ein bisschen frieden;2020;Deutsch
100504;DeLange, Ilse;Fuer Dich;2020;Deutsch
100505;Delay, Jan;Eule;2021;Deutsch
100506;Delay, Jan;Ganz Anders;2008;Deutsch
100507;Delay, Jan;Oh Johnny;2009;Deutsch
100508;Delay, Jan;St Pauli;2014;Deutsch
100509;Delay, Jan;Tuerlich Tuerlich (Word Up);2007;Deutsch
100510;Deutscher, Drafi;Heute male ich dein bild, cindy lou;1965;Deutsch
100511;Deutscher, Drafi;Marmor, Stein Und Eisen Bricht;1967;Deutsch
100512;Deutscher, Drafi;Shake Hands;1963;Deutsch
100513;Deutscher, Drafi;Tief unter meiner haut;1985;Deutsch
100514;Dhont, Camille;Feuerwerk;2023;Deutsch
100515;Dietrich, Marlene;Ich bin von kopf bis fuss auf liebe eingestellt;1930;Deutsch
100516;Dietrich, Marlene;Lili Marlene;1945;Deutsch
100517;Dietrich, Marlene;Sag mir wo die Blumen sind;1962;Deutsch
100518;Dittberner, Philipp;Das ist dein Leben;2015;Deutsch
100519;Dittberner, Philipp;Das ist dein Leben (Radio Edit);2015;Deutsch
100520;Dittberner, Philipp;In deiner kleinen Welt;2015;Deutsch
100521;Dittberner, Philipp;Wolke 4;2015;Deutsch
100522;DJ Bellissimo;Sag Mir Quando, Sag Mir Wann;2008;Deutsch
100523;DJ Herzbeat;3 tage in Prag;2019;Deutsch
100524;DJ Herzbeat;Maybe;2020;Deutsch
100525;DJ Herzbeat;One Way Ticket (fuer uns zwei);2022;Deutsch
100526;DJ Mox;Fang das licht;2009;Deutsch
100527;DJ oetzi;7 Suenden;2006;Deutsch
100528;DJ oetzi;A Mann fuer Amore;2016;Deutsch
100529;DJ oetzi;Aber Dich gibts nur einmal fuer mich;2007;Deutsch
100530;DJ oetzi;Anton Aus Tirol;2001;Deutsch
100531;DJ oetzi;Bella Ciao (Silverjam RMX);2018;Deutsch
100532;DJ oetzi;Burger Dance;2003;Deutsch
100533;DJ oetzi;Der Dj aus den Bergen;2011;Deutsch
100534;DJ oetzi;Der hellste Stern (Boehmischer Traum);2020;Deutsch
100535;DJ oetzi;Der Moment;2021;Deutsch
100536;DJ oetzi;Die Fischerin vom Bodensee;2007;Deutsch
100537;DJ oetzi;Du bist es;2012;Deutsch
100538;DJ oetzi;Ein Stern (Bassflow Remix);2019;Deutsch
100539;DJ oetzi;Ein Stern (der deinen Namen traegt);2007;Deutsch
100540;DJ oetzi;Fuer immer jung;2017;Deutsch
100541;DJ oetzi;I Sing A Liad Fuer Di;2011;Deutsch
100542;DJ oetzi;I Will Lebn;2008;Deutsch
100543;DJ oetzi;Ich will mit dir fliegen;2010;Deutsch
100544;DJ oetzi;Leb!;2020;Deutsch
100545;DJ oetzi;Noch in 100000 Jahren;2008;Deutsch
100546;DJ oetzi;Traenen;2008;Deutsch
100547;DJ oetzi;Wie ein Komet;2013;Deutsch
100548;DJ Robin;Layla;2022;Deutsch
100549;DoeF;Codo;1983;Deutsch
100550;Donikkl;So a schoener Tag (Fliegerlied);2005;Deutsch
100551;Doofen;Mief! (Nimm mich jetzt, auch wenn ich stinke);1995;Deutsch
100552;Doraus und Die Marinas;Fred vom Jupiter;1981;Deutsch
100553;Dorfrocker;Hurra das ganze Dorf ist da;2022;Deutsch
100554;Dorfrocker;Und ab geht die Lutzzzi;2008;Deutsch
100555;Dorfrocker;Vogelbeerbaum;2010;Deutsch
100556;Dorthe;Waerst du doch in Duesseldorf geblieben;1968;Deutsch
100557;Draufgaenger;Baby, du siehst gut aus;2020;Deutsch
100558;Draufgaenger;Cordula gruen;2018;Deutsch
100559;Draufgaenger;Die schlagermedley (live);2021;Deutsch
100560;Draufgaenger;Geh Manuela;2023;Deutsch
100561;Draufgaenger;Gina-Lisa (Spiel mit deinen Glocken);2017;Deutsch
100562;Draufgaenger;Hey was geht ab (Whats up);2018;Deutsch
100563;Draufgaenger;Johnny Deere;2018;Deutsch
100564;Draufgaenger;Kuess die Hand schoene Frau;2019;Deutsch
100565;Draufgaenger;Landjugend (Baby, i bin von der);2022;Deutsch
100566;Draufgaenger;Looking for Freibier;2017;Deutsch
100567;Draufgaenger;Marie;2020;Deutsch
100568;Draufgaenger;Pocahontas;2018;Deutsch
100569;Draufgaenger;Schachmatt;2019;Deutsch
100570;Drews, Juergen;Barfuss Durch Den Sommer;1977;Deutsch
100571;Drews, Juergen;Das ist der Moment;2015;Deutsch
100572;Drews, Juergen;Das ist der Moment (album version);2015;Deutsch
100573;Drews, Juergen;Ein Bett im Kornfeld;1976;Deutsch
100574;Drews, Juergen;Ein Bett im Kornfeld (live);2020;Deutsch
100575;Drews, Juergen;Ein Bett Im Kornfeld (Version 2017);2017;Deutsch
100576;Drews, Juergen;Fuer einen Tag;2012;Deutsch
100577;Drews, Juergen;Gloria;2007;Deutsch
100578;Drews, Juergen;Heut schlafen wir in meinem Cabrio;2015;Deutsch
100579;Drews, Juergen;Hey! Amigo Charly Brown;2001;Deutsch
100580;Drews, Juergen;Ich bau Dir ein Schloss;2009;Deutsch
100581;Drews, Juergen;Irgendwann, Irgendwo, Irgendwie;1989;Deutsch
100582;Drews, Juergen;Kornblumen;2013;Deutsch
100583;Drews, Juergen;Rette mich wer kann (SOS);2010;Deutsch
100584;Drews, Juergen;ueber uns ist nur der Himmel;2010;Deutsch
100585;Drews, Juergen;Und ich schenke dir einen Regenbogen;2017;Deutsch
100586;Drews, Juergen;Wenn die Wunderkerzen brennen;2011;Deutsch
100587;Drews, Juergen;Wieder Alles Im Griff;2003;Deutsch
100588;Drews, Juergen;Wir ziehn heut abend aufs dach (Call On Me);1978;Deutsch
100589;Dschinghis Khan;Dschinghis Khan;1979;Deutsch
100590;Dschinghis Khan;Moskau;1979;Deutsch
100591;EAV;An Der Copacabana;1987;Deutsch
100592;EAV;Ba-Ba-Bankueberfall;1985;Deutsch
100593;EAV;Burli;1987;Deutsch
100594;EAV;Ding Dong;1990;Deutsch
100595;EAV;Drei Weisse Tauben;1998;Deutsch
100596;EAV;Fata Morgana;1986;Deutsch
100597;EAV;Heisse Naechte in Palermo;1985;Deutsch
100598;EAV;Kuess die Hand, schoene Frau;1987;Deutsch
100599;EAV;Maerchenprinz;1985;Deutsch
100600;EAV;Samurai;1990;Deutsch
100601;Ebstein, Katja;Dann heirat doch dein buero;1980;Deutsch
100602;Ebstein, Katja;Theater;1980;Deutsch
100603;Ebstein, Katja;Was hat sie, das ich nicht habe;1979;Deutsch
100604;Ebstein, Katja;Wunder gibt es immer wieder;1970;Deutsch
100605;Echt;Du traegst keine liebe in dir;1999;Deutsch
100606;Echt;Junimond;2000;Deutsch
100607;Echt;Weinst du;1999;Deutsch
100608;Edmund;Leiwand;2020;Deutsch
100609;Edmund;Zam oid wearn;2018;Deutsch
100610;EFF;Stimme;2015;Deutsch
100611;Egli, Beatrice;Auf die Plaetze, fertig, ins Glueck;2014;Deutsch
100612;Egli, Beatrice;Balance;2023;Deutsch
100613;Egli, Beatrice;Beatrice Megamix;2013;Deutsch
100614;Egli, Beatrice;Bitte Bitte;2016;Deutsch
100615;Egli, Beatrice;Bunt;2020;Deutsch
100616;Egli, Beatrice;Das wissen nur wir;2023;Deutsch
100617;Egli, Beatrice;Diese nacht hat 1000 stunden;2013;Deutsch
100618;Egli, Beatrice;Federleicht;2016;Deutsch
100619;Egli, Beatrice;Fliegen;2016;Deutsch
100620;Egli, Beatrice;Grenzenlos;2013;Deutsch
100621;Egli, Beatrice;Herz an;2017;Deutsch
100622;Egli, Beatrice;Himmelbett;2013;Deutsch
100623;Egli, Beatrice;Irgendwann;2013;Deutsch
100624;Egli, Beatrice;Jetzt und hier fuer immer;2013;Deutsch
100625;Egli, Beatrice;Keiner kuesst mich;2017;Deutsch
100626;Egli, Beatrice;Kick im Augenblick;2016;Deutsch
100627;Egli, Beatrice;Le Li La;2019;Deutsch
100628;Egli, Beatrice;Liebe macht blind;2011;Deutsch
100629;Egli, Beatrice;Mein Ein und Alles;2018;Deutsch
100630;Egli, Beatrice;Mein Herz;2013;Deutsch
100631;Egli, Beatrice;Ohne Worte;2015;Deutsch
100632;Egli, Beatrice;Terra Australia;2019;Deutsch
100633;Egli, Beatrice;Verliebt, verlobt, verflixt nochmal;2018;Deutsch
100634;Egli, Beatrice;Verrueckt nach dir;2013;Deutsch
100635;Egli, Beatrice;Volles risiko;2022;Deutsch
100636;Egli, Beatrice;Was geht ab;2018;Deutsch
100637;Egli, Beatrice;Wir leben laut;2014;Deutsch
100638;Egli, Beatrice;Wo sind all die Romeos?;2016;Deutsch
100639;Elchos;Vincent;2020;Deutsch
100640;Electra;Nie zuvor;1984;Deutsch
100641;Elen;5 Meter Mauern;2020;Deutsch
100642;Elif;Unter meiner Haut;2013;Deutsch
100643;Elisabeth (musical);Ich gehoer nur mir;1992;Deutsch
100644;Elisabeth (musical);Wenn ich tanzen will;2001;Deutsch
100645;Endlich, Ella;Adrenalin;2016;Deutsch
100646;Endlich, Ella;Gut gemacht;2018;Deutsch
100647;Endlich, Ella;Kuess mich, halt mich, lieb mich;2009;Deutsch
100648;Endlich, Ella;Spuren auf dem Mond;2016;Deutsch
100649;Endlich, Ella;Was waere wenn;2014;Deutsch
100650;Endlich, Ella;Wir wolln nicht schlafen gehn;2014;Deutsch
100651;Eule;Stehaufmaedchen;2018;Deutsch
100652;Ewig;Ein Geschenk;2015;Deutsch
100653;Extrabreit;Flieger, gruess mir die sonne;1980;Deutsch
100654;Extrabreit;Fuer mich solls rote Rosen regnen;1992;Deutsch
100655;Extrabreit;Hurra, hurra, die Schule brennt;1980;Deutsch
100656;Faeaschtbaenkler;Can You English Please;2017;Deutsch
100657;Falco;Der Kommissar;1982;Deutsch
100658;Falco;Egoist;1998;Deutsch
100659;Falco;Jeanny;1985;Deutsch
100660;Falco;Junge Roemer;1984;Deutsch
100661;Falco;Kann es Liebe sein;1984;Deutsch
100662;Falco;Maschine Brennt;1982;Deutsch
100663;Falco;Rock Me Amadeus;1985;Deutsch
100664;Falco;Vienna Calling;1986;Deutsch
100665;Fantastischen Vier;Die Da !?!;1992;Deutsch
100666;Fantastischen Vier;Mit Freundlichen Gruessen;2009;Deutsch
100667;Fantastischen Vier;Sie ist weg;1995;Deutsch
100668;Fantastischen Vier;Tag am meer;1994;Deutsch
100669;Fantastischen Vier;Troy;2004;Deutsch
100670;Fantastischen Vier;Tunnel;2017;Deutsch
100671;Fantastischen Vier;Zusammen;2018;Deutsch
100672;Fantasy;Auf dem Tretboot;2020;Deutsch
100673;Fantasy;Blinder Passagier;2016;Deutsch
100674;Fantasy;Bonnie und Clyde;2017;Deutsch
100675;Fantasy;Casanova;2019;Deutsch
100676;Fantasy;Casanova (Xtreme Sound Mix);2019;Deutsch
100677;Fantasy;Darling;2014;Deutsch
100678;Fantasy;Darling, ja immer noch;2023;Deutsch
100679;Fantasy;Du bist mein schoenstes Geschenk;2009;Deutsch
100680;Fantasy;Ein weisses Boot;2012;Deutsch
100681;Fantasy;Eine Nacht im Paradies;2014;Deutsch
100682;Fantasy;Endstation Sehnsucht;2013;Deutsch
100683;Fantasy;Gespenster der Nacht;2018;Deutsch
100684;Fantasy;Halleluja;2009;Deutsch
100685;Fantasy;Ich brauch mehr von dir;2013;Deutsch
100686;Fantasy;Ich brenn durch mit dir (Berlin);2017;Deutsch
100687;Fantasy;In dieser Sommernacht;2017;Deutsch
100688;Fantasy;Koenig in der Nacht;2010;Deutsch
100689;Fantasy;Mississippi;2022;Deutsch
100690;Fantasy;So wie ein Vulkan;2016;Deutsch
100691;Fantasy;Wenn du mir in die Augen schaust;2016;Deutsch
100692;Fantasy;Wovon traeumst Du denn;2022;Deutsch
100693;Farian, Frank;Rocky;1976;Deutsch
100694;Faun;Tanz mit mir;2013;Deutsch
100695;FC Bayern Muenchen;Stern des Suedens;2006;Deutsch
100696;Fehlfarben;Ein Jahr (Es geht voran);1982;Deutsch
100697;Felgen, Camillo;Sag warum;1959;Deutsch
100698;Feller, Linda;Minuten im Fieber;1993;Deutsch
100699;Fendrich, Rainhard;Es lebe der sport;1982;Deutsch
100700;Fendrich, Rainhard;Es lebe der sport (2005);2005;Deutsch
100701;Fendrich, Rainhard;Es tuat so weh, wenn man verliert;1983;Deutsch
100702;Fendrich, Rainhard;I Am From Austria;1989;Deutsch
100703;Fendrich, Rainhard;Macho Macho;1989;Deutsch
100704;Fendrich, Rainhard;Manchmal denk i no an di;1985;Deutsch
100705;Fendrich, Rainhard;Oben ohne;1982;Deutsch
100706;Fendrich, Rainhard;Strada del Sole;1981;Deutsch
100707;Fendrich, Rainhard;Tango Korrupti;1988;Deutsch
100708;Fendrich, Rainhard;Vue schoener is des Gfuehl;1985;Deutsch
100709;Fendrich, Rainhard;Weusd a herz hast wie a bergwerk;1984;Deutsch
100710;Feser, Alexa;Das gold von morgen;2014;Deutsch
100711;Feser, Alexa;Das gold von morgen (akustik piano version);2014;Deutsch
100712;Fettes Brot;An Tagen wie diesen;2005;Deutsch
100713;Fettes Brot;Emanuela;2005;Deutsch
100714;Fettes Brot;Jein;1996;Deutsch
100715;Feuerherz;In meinen Traeumen ist die Hoelle los;2018;Deutsch
100716;Feuerherz;Lange nicht genug;2017;Deutsch
100717;Feuerherz;Merry Christmas;2015;Deutsch
100718;Feuerherz;Wenn du nicht stopp sagst;2018;Deutsch
100719;Feuerherz;Wer kann da denn schon nein sagen?;2019;Deutsch
100720;Fierek, Wolfgang;Resi i hol di mit meim Traktor ab;1985;Deutsch
100721;Firma;Die Eine 2005;2005;Deutsch
100722;Fischer, Axel;Amsterdam;2008;Deutsch
100723;Fischer, Axel;Bella Ciao;2018;Deutsch
100724;Fischer, Axel;Bella Ciao (Oktoberfest 2018 Wiesn Version);2018;Deutsch
100725;Fischer, Axel;Griechischer wein;2010;Deutsch
100726;Fischer, Axel;Norderney (Fox Version);2019;Deutsch
100727;Fischer, Helene;Achterbahn;2017;Deutsch
100728;Fischer, Helene;Achterbahn (Afrojack Mash Up);2017;Deutsch
100729;Fischer, Helene;Achterbahn (Afrojack Mashup Live);2017;Deutsch
100730;Fischer, Helene;Achterbahn (Live);2017;Deutsch
100731;Fischer, Helene;Adeste Fideles;2016;Deutsch
100732;Fischer, Helene;Adieu;2017;Deutsch
100733;Fischer, Helene;Alice Im Wunderland;2013;Deutsch
100734;Fischer, Helene;Alle Jahre wieder;2015;Deutsch
100735;Fischer, Helene;Allein im Licht;2011;Deutsch
100736;Fischer, Helene;Alles von mir;2021;Deutsch
100737;Fischer, Helene;Am ende sind wir stark genug;2011;Deutsch
100738;Fischer, Helene;Atemlos durch die Nacht;2013;Deutsch
100739;Fischer, Helene;Atemlos durch die Nacht (Live);2015;Deutsch
100740;Fischer, Helene;Auf der Suche nach mir;2013;Deutsch
100741;Fischer, Helene;Ave Maria;2007;Deutsch
100742;Fischer, Helene;Blitz;2021;Deutsch
100743;Fischer, Helene;Captain meiner Seele;2013;Deutsch
100744;Fischer, Helene;Copilot;2011;Deutsch
100745;Fischer, Helene;Danke fuer Dich;2021;Deutsch
100746;Fischer, Helene;Das Karussell in meinem Bauch;2007;Deutsch
100747;Fischer, Helene;Das volle Programm;2017;Deutsch
100748;Fischer, Helene;Dein Blick;2017;Deutsch
100749;Fischer, Helene;Der Augenblick;2013;Deutsch
100750;Fischer, Helene;Die Biene Maja;2013;Deutsch
100751;Fischer, Helene;Die Erste deiner Art;2015;Deutsch
100752;Fischer, Helene;Die Hoelle morgen frueh;2011;Deutsch
100753;Fischer, Helene;Die Rose;2009;Deutsch
100754;Fischer, Helene;Die schoenste Reise;2017;Deutsch
100755;Fischer, Helene;Die Sonne kann warten;2009;Deutsch
100756;Fischer, Helene;Doch ich bereu dich nicht;2011;Deutsch
100757;Fischer, Helene;Du Faengst Mich Auf Und Laesst Mich Fliegen;2007;Deutsch
100758;Fischer, Helene;Du hast mein Herz beruehrt;2008;Deutsch
100759;Fischer, Helene;Du hast mich Stark gemacht;2017;Deutsch
100760;Fischer, Helene;Du kennst mich doch;2011;Deutsch
100761;Fischer, Helene;Du laesst mich sein, so wie ich bin;2009;Deutsch
100762;Fischer, Helene;Ehrlich und klar;2013;Deutsch
100763;Fischer, Helene;Ein kleines Glueck;2013;Deutsch
100764;Fischer, Helene;Engel ohne Fluegel;2021;Deutsch
100765;Fischer, Helene;Es gibt keinen Morgen danach;2006;Deutsch
100766;Fischer, Helene;Ewig ist manchmal zu lang;2008;Deutsch
100767;Fischer, Helene;Fantasie hat Fluegel;2007;Deutsch
100768;Fischer, Helene;Fehlerfrei;2013;Deutsch
100769;Fischer, Helene;Feuerwerk;2013;Deutsch
100770;Fischer, Helene;Flieger;2017;Deutsch
100771;Fischer, Helene;Frag nicht wo und wann;2008;Deutsch
100772;Fischer, Helene;Froehliche Weihnacht ueberall;2016;Deutsch
100773;Fischer, Helene;Fuer einen Tag;2011;Deutsch
100774;Fischer, Helene;Gefuehle wie Feuer und Eis;2008;Deutsch
100775;Fischer, Helene;Genau dieses Gefuehl;2021;Deutsch
100776;Fischer, Helene;Genau mein Ding;2017;Deutsch
100777;Fischer, Helene;Gib mir deine Hand;2017;Deutsch
100778;Fischer, Helene;Glueckwaerts;2021;Deutsch
100779;Fischer, Helene;Greatest Hits (live Helene Fischer Show 2017);2017;Deutsch
100780;Fischer, Helene;Hab den Himmel beruehrt;2008;Deutsch
100781;Fischer, Helene;Hand in Hand;2021;Deutsch
100782;Fischer, Helene;Heilige Nacht;2015;Deutsch
100783;Fischer, Helene;Herzbeben;2017;Deutsch
100784;Fischer, Helene;Herzbeben (Die Helene Fischer Show 2019);2019;Deutsch
100785;Fischer, Helene;Hit Medley (live 2015);2015;Deutsch
100786;Fischer, Helene;Hit-Medley (Das grosse Schlagercomeback 2022);2022;Deutsch
100787;Fischer, Helene;Hundert prozent;2010;Deutsch
100788;Fischer, Helene;Hundert prozent (Die Helene Fischer Show);2016;Deutsch
100789;Fischer, Helene;Hundert Prozent (Live);2011;Deutsch
100790;Fischer, Helene;Ich brauch das Gefuehl;2009;Deutsch
100791;Fischer, Helene;Ich glaub Dir hundert Luegen;2007;Deutsch
100792;Fischer, Helene;Ich lebe jetzt;2011;Deutsch
100793;Fischer, Helene;Ich will immer wieder dieses Fieber spuern;2008;Deutsch
100794;Fischer, Helene;Ich will immer wieder dieses Fieber spuern (Live);2015;Deutsch
100795;Fischer, Helene;Ich wollte mich nie mehr verlieben;2017;Deutsch
100796;Fischer, Helene;Ich wollte nie erwachsen sein (Nessaja);2011;Deutsch
100797;Fischer, Helene;Ihr Kinderlein kommet;2016;Deutsch
100798;Fischer, Helene;Im Reigen der Gefuehle;2006;Deutsch
100799;Fischer, Helene;In der Weihnachtsbaeckerei;2015;Deutsch
100800;Fischer, Helene;In diesen Naechten;2013;Deutsch
100801;Fischer, Helene;Jeden Morgen Wird Die Sonne Neu Geboren;2008;Deutsch
100802;Fischer, Helene;Jeder braucht eine Insel;2008;Deutsch
100803;Fischer, Helene;Jetzt oder Nie;2021;Deutsch
100804;Fischer, Helene;Kling Gloeckchen, klingelingeling;2016;Deutsch
100805;Fischer, Helene;Koenig der Herzen;2008;Deutsch
100806;Fischer, Helene;Lass mich in dein Leben;2008;Deutsch
100807;Fischer, Helene;Leise rieselt der Schnee;2015;Deutsch
100808;Fischer, Helene;Lieb mich dann;2017;Deutsch
100809;Fischer, Helene;Liebe ist ein Tanz;2021;Deutsch
100810;Fischer, Helene;Luftballon;2021;Deutsch
100811;Fischer, Helene;Mal Ganz ehrlich;2008;Deutsch
100812;Fischer, Helene;Manchmal kommt die Liebe einfach so;2006;Deutsch
100813;Fischer, Helene;Marathon;2013;Deutsch
100814;Fischer, Helene;Maria durch ein Dornwald ging;2015;Deutsch
100815;Fischer, Helene;Merci Cherie;2014;Deutsch
100816;Fischer, Helene;Mit dem wind;2017;Deutsch
100817;Fischer, Helene;Mit jedem Herzschlag;2017;Deutsch
100818;Fischer, Helene;Mit keinem Andern;2013;Deutsch
100819;Fischer, Helene;Mit keinem Andern (live);2018;Deutsch
100820;Fischer, Helene;Mitten im paradies;2007;Deutsch
100821;Fischer, Helene;Mitten im Paradies (live);2013;Deutsch
100822;Fischer, Helene;Nicht von dieser welt;2010;Deutsch
100823;Fischer, Helene;Nichts auf der Welt;2021;Deutsch
100824;Fischer, Helene;Null auf 100;2021;Deutsch
100825;Fischer, Helene;Nur mit Dir;2017;Deutsch
100826;Fischer, Helene;Nur mit Dir (Live Helene Fischer Show 2018);2018;Deutsch
100827;Fischer, Helene;Nur wer den Wahnsinn liebt;2011;Deutsch
100828;Fischer, Helene;O Du froehliche;2016;Deutsch
100829;Fischer, Helene;Opening (Live Medley Helene Fischer Show 2018);2018;Deutsch
100830;Fischer, Helene;Phaenomen;2011;Deutsch
100831;Fischer, Helene;Phaenomen (Live 2015);2015;Deutsch
100832;Fischer, Helene;Rausch;2021;Deutsch
100833;Fischer, Helene;Schlagerbooom Medley (Liv2 2016);2016;Deutsch
100834;Fischer, Helene;Schmetterling;2017;Deutsch
100835;Fischer, Helene;Schon lang nicht mehr getanzt;2017;Deutsch
100836;Fischer, Helene;Sehnsucht;2011;Deutsch
100837;Fischer, Helene;So kann das Leben sein;2013;Deutsch
100838;Fischer, Helene;Sonne auf der Haut;2017;Deutsch
100839;Fischer, Helene;Sonnen Medley (live);2019;Deutsch
100840;Fischer, Helene;Sowieso;2017;Deutsch
100841;Fischer, Helene;Stille Nacht;2015;Deutsch
100842;Fischer, Helene;Suesser die Glocken nie klingen;2016;Deutsch
100843;Fischer, Helene;Tanz noch einmal mit mir;2008;Deutsch
100844;Fischer, Helene;Te Quiero;2013;Deutsch
100845;Fischer, Helene;Tochter Zion;2016;Deutsch
100846;Fischer, Helene;Und ich vermiss dich auch;2007;Deutsch
100847;Fischer, Helene;Und Morgen Frueh Kuess Ich Dich Wach;2007;Deutsch
100848;Fischer, Helene;Und morgen frueh kuess ich dich wach (foxmix);2008;Deutsch
100849;Fischer, Helene;Und morgen frueh kuess ich dich wach (Live);2015;Deutsch
100850;Fischer, Helene;Unser Tag;2013;Deutsch
100851;Fischer, Helene;Unser Tag (Live 2015);2015;Deutsch
100852;Fischer, Helene;Vamos a Marte;2021;Deutsch
100853;Fischer, Helene;Vamos a Marte (live);2022;Deutsch
100854;Fischer, Helene;Verdammt ich lieb dich;2017;Deutsch
100855;Fischer, Helene;Vergeben, vergessen und wieder vertraun;2008;Deutsch
100856;Fischer, Helene;Vielleicht bin ich viel staerker als du denkst;2011;Deutsch
100857;Fischer, Helene;Villa in der Schlossallee;2011;Deutsch
100858;Fischer, Helene;Viva la Vida;2017;Deutsch
100859;Fischer, Helene;Volle Kraft voraus;2021;Deutsch
100860;Fischer, Helene;Von Hier Bis Unendlich;2006;Deutsch
100861;Fischer, Helene;Von Null auf Sehnsucht;2010;Deutsch
100862;Fischer, Helene;Waer heut mein letzter Tag;2011;Deutsch
100863;Fischer, Helene;Wann wachen wir auf;2021;Deutsch
100864;Fischer, Helene;Weil Liebe nie zerbricht;2017;Deutsch
100865;Fischer, Helene;Wenn alles durchdreht;2021;Deutsch
100866;Fischer, Helene;Wenn du lachst;2017;Deutsch
