#ID;#Singer;#Song;#Year;#Language
100103;Antonia aus Tirol;Hey, was geht ab (Whats Up);2011;Deutsch
100104;Antonia aus Tirol;Traenen luegen nicht;2010;Deutsch
100105;Antonia aus Tirol;Was waere wenn wir single waern;2017;Deutsch
100106;Antony, Ross;1000 und 1 Nacht (Tausendmal beruehrt);2020;Deutsch
100107;Antony, Ross;Eine neue Liebe ist wie ein neues Leben;2013;Deutsch
100108;Antony, Ross;Fiesta Mexicana;2019;Deutsch
100109;Antony, Ross;Ich bin, was ich bin;2018;Deutsch
100110;Antony, Ross;Ich komm zurueck nach Amarillo;2017;Deutsch
100111;Antony, Ross;Michaela;2017;Deutsch
100112;Antony, Ross;Willkommen im Club;2021;Deutsch
100113;Apache 207;Breaking Your Heart;2023;Deutsch
100114;Apache 207;Neunzig;2023;Deutsch
100115;Apache 207;Roller;2019;Deutsch
100116;Astor, Tom;Flieg junger Adler;1998;Deutsch
100117;Astor, Tom;Hallo, guten Morgen Deutschland;1984;Deutsch
100118;Astor, Tom;Irgendwie wirds schon gehn;1996;Deutsch
100119;Atzen;Das Geht Ab (Wir Feiern Die Ganze Nacht);2009;Deutsch
100120;Atzen;Disco Pogo;2010;Deutsch
100121;Ayman;Mein Stern;1999;Deutsch
100122;Bach, Kristina;Erst ein Cappuccino;1990;Deutsch
100123;Bach, Kristina;Hey, ich such hier nicht den groessten Lover;1999;Deutsch
100124;Backus, Gus;Da sprach der alte Haeuptling der Indianer;1960;Deutsch
100125;Backus, Gus;Der Mann im Mond;1961;Deutsch
100126;Backus, Gus;Mein Schimmel wartet im Himmel;1963;Deutsch
100127;Backus, Gus;Rote Lippen soll man kuessen;1964;Deutsch
100128;Badesalz;Alles Gute;1991;Deutsch
100129;Baginsky, Gaby;Itsy Bitsy Teenie Weenie Honolulu Strandbikini;2007;Deutsch
100130;Baginsky, Gaby;Marigot Bay;2006;Deutsch
100131;Ballou, Cat;Et jitt kei Wood;2013;Deutsch
100132;BAP;Alles em Lot;1990;Deutsch
100133;BAP;Bunte Truemmer;1985;Deutsch
100134;BAP;Do kanns zaubere;1982;Deutsch
100135;BAP;Kristallnaach;1982;Deutsch
100136;BAP;Verdamp Lang Her;1981;Deutsch
100137;BAP;Waschsalon;1981;Deutsch
100138;Bauhaus, Mike;Es faehrt ein Zug (Reloaded);2011;Deutsch
100139;Bauhaus, Mike;How Do You Do;2006;Deutsch
100140;Bausa;Madonna;2021;Deutsch
100141;Bausa;Was du Liebe nennst;2017;Deutsch
100142;Bausch, Joerg;Grosses Kino;2008;Deutsch
100143;Beauty and the Beast (1991 film);Die Schoene und das Biest;1991;Deutsch
100144;Beauty and the Beast (1991 film);Sei hier Gast;1991;Deutsch
100145;Beckenbauer, Franz;Gute Freunde kann niemand trennen;1966;Deutsch
100146;Becker, Lea-Marie;110 (Prolog);2019;Deutsch
100147;Becker, Lea-Marie;Elefant;2020;Deutsch
100148;Becker, Lea-Marie;Ende der Welt;2020;Deutsch
100149;Becker, Lea-Marie;Fuer immer;2020;Deutsch
100150;Becker, Lea-Marie;Fuer immer (Max Giesinger duett);2020;Deutsch
100151;Becker, Lea-Marie;Immer wenn wir uns sehn;2018;Deutsch
100152;Becker, Lea-Marie;Immer wenn wir uns sehn (feat Cyril);2018;Deutsch
100153;Becker, Lea-Marie;Leiser;2017;Deutsch
100154;Becker, Lea-Marie;Treppenhaus;2020;Deutsch
100155;Becker, Lea-Marie;Wenn Du mich laesst;2021;Deutsch
100156;Becker, Lea-Marie;Wunderkerzenmenschen;2017;Deutsch
100157;Becker, Lea-Marie;Zu dir;2018;Deutsch
100158;Becker, Markus;10 meter gehn;2010;Deutsch
100159;Becker, Markus;Aloha heja he;2008;Deutsch
100160;Becker, Markus;Bierkapitaen;2019;Deutsch
100161;Becker, Markus;Das rote pferd;2002;Deutsch
100162;Becker, Markus;Helikopter;2011;Deutsch
100163;Becker, Markus;Hoerst Du die Regenwuermer husten?;2008;Deutsch
100164;Becker, Markus;Ich glaub es geht schon wieder los;2005;Deutsch
100165;Becker, Markus;Wir wollen feiern;2011;Deutsch
100166;Beginner;Es war einmal;2016;Deutsch
100167;Bendzko, Tim;Am Seidenen Faden;2013;Deutsch
100168;Bendzko, Tim;Hoch;2019;Deutsch
100169;Bendzko, Tim;Ich laufe;2011;Deutsch
100170;Bendzko, Tim;In dein herz;2011;Deutsch
100171;Bendzko, Tim;Keine Maschine;2016;Deutsch
100172;Bendzko, Tim;Leichtsinn;2016;Deutsch
100173;Bendzko, Tim;Nur noch kurz die Welt retten;2011;Deutsch
100174;Bendzko, Tim;Ohne zurueck zu sehen;2013;Deutsch
100175;Bendzko, Tim;Sag einfach ja;2011;Deutsch
100176;Bendzko, Tim;Unter die Haut;2013;Deutsch
100177;Bendzko, Tim;Wenn Worte meine Sprache waeren;2011;Deutsch
100178;Berg, Andrea;Andrea Berg Party Mix;2006;Deutsch
100179;Berg, Andrea;Atlantis lebt;2013;Deutsch
100180;Berg, Andrea;Bin ich von allen guten Geistern verlassen;2013;Deutsch
100181;Berg, Andrea;Danke, dass es dich gibt;2019;Deutsch
100182;Berg, Andrea;Das Gefuehl;2013;Deutsch
100183;Berg, Andrea;Das hat die Welt noch nie gesehen;2016;Deutsch
100184;Berg, Andrea;Das kann kein Zufall sein;2011;Deutsch
100185;Berg, Andrea;Davon geht mein Herz nicht unter;2019;Deutsch
100186;Berg, Andrea;Der letzte Tag im Paradies;2013;Deutsch
100187;Berg, Andrea;Dich soll der Teufel holn;2009;Deutsch
100188;Berg, Andrea;Die Gefuehle Haben Schweigepflicht;1995;Deutsch
100189;Berg, Andrea;Die geheimen Traeumer;2019;Deutsch
100190;Berg, Andrea;Diese Nacht ist jede Suende wert;2016;Deutsch
100191;Berg, Andrea;Diese Nacht ist jede Suende wert (Live);2016;Deutsch
100192;Berg, Andrea;Drachenreiter;2016;Deutsch
100193;Berg, Andrea;Du bist das Feuer;2016;Deutsch
100194;Berg, Andrea;Du Hast Mich Tausendmal Belogen;2001;Deutsch
100195;Berg, Andrea;Du kannst noch nicht mal richtig luegen;2010;Deutsch
100196;Berg, Andrea;Du musst erst fallen;2019;Deutsch
100197;Berg, Andrea;Ein Schiff wird kommen;2003;Deutsch
100198;Berg, Andrea;Ein Tag mit dir im Paradies;2003;Deutsch
100199;Berg, Andrea;Endlich du;2010;Deutsch
100200;Berg, Andrea;Es muss ja nicht fuer immer sein;2016;Deutsch
100201;Berg, Andrea;Feuervogel;2016;Deutsch
100202;Berg, Andrea;Flieg mit mir fort;2011;Deutsch
100203;Berg, Andrea;Geh doch, wenn du sie liebst;2002;Deutsch
100204;Berg, Andrea;Hallo Houston;2019;Deutsch
100205;Berg, Andrea;Hallo Houston (King und White DJ Mix);2019;Deutsch
100206;Berg, Andrea;Herztattoo;2011;Deutsch
100207;Berg, Andrea;Himmel auf Erden;2013;Deutsch
100208;Berg, Andrea;Hit Medley (live Schlagerboom);2019;Deutsch
100209;Berg, Andrea;Ich liebe das Leben;2010;Deutsch
100210;Berg, Andrea;Ich liebe das Leben (25 Jahre Remix);2017;Deutsch
100211;Berg, Andrea;Ich schiess dich auf den Mond;2011;Deutsch
100212;Berg, Andrea;Ich sterbe nicht nochmal;2001;Deutsch
100213;Berg, Andrea;Ich werde laecheln wenn Du gehst;2016;Deutsch
100214;Berg, Andrea;Ich werde laecheln wenn Du gehst (Fox Mix);2016;Deutsch
100215;Berg, Andrea;Ich werde wieder tanzen gehn;2010;Deutsch
100216;Berg, Andrea;Ich wuerd dich so gern wiedersehn;2019;Deutsch
100217;Berg, Andrea;Ich wuerds wieder tun;2022;Deutsch
100218;Berg, Andrea;Im naechsten leben;2013;Deutsch
100219;Berg, Andrea;Ja ich will;2017;Deutsch
100220;Berg, Andrea;Jung, verliebt und frei;2019;Deutsch
100221;Berg, Andrea;Kilimandscharo;1992;Deutsch
100222;Berg, Andrea;Kilimandscharo ();1992;Deutsch
100223;Berg, Andrea;Lass mich in Flammen stehen;2016;Deutsch
100224;Berg, Andrea;Lebenslaenglich;2011;Deutsch
100225;Berg, Andrea;Leise rieselt der schnee;2008;Deutsch
100226;Berg, Andrea;Lust auf pures Leben;2016;Deutsch
100227;Berg, Andrea;Maerchenschloss;2016;Deutsch
100228;Berg, Andrea;Mein Prinz;2011;Deutsch
100229;Berg, Andrea;Mosaik;2019;Deutsch
100230;Berg, Andrea;Piraten wie wir;2011;Deutsch
100231;Berg, Andrea;Schenk mir einen Stern;2010;Deutsch
100232;Berg, Andrea;Schwerelos Hitmix;2010;Deutsch
100233;Berg, Andrea;Seelenbeben;2016;Deutsch
100234;Berg, Andrea;Seemann, deine Heimat ist das Meer;2011;Deutsch
100235;Berg, Andrea;Solang die Erde sich dreht;2016;Deutsch
100236;Berg, Andrea;Steh auf;2019;Deutsch
100237;Berg, Andrea;Sternentraeumer;2016;Deutsch
100238;Berg, Andrea;ueber alle sieben Meere;2011;Deutsch
100239;Berg, Andrea;Und heute Abend geh ich tanzen;2001;Deutsch
100240;Berg, Andrea;Unendlichkeit;2019;Deutsch
100241;Berg, Andrea;Viel zu schoen um wahr zu sein;2022;Deutsch
100242;Berg, Andrea;Vielleicht ein traum zu viel;1999;Deutsch
100243;Berg, Andrea;Was auch immer passiert;2022;Deutsch
100244;Berg, Andrea;Wenn du mich willst, dann kuess mich doch;1995;Deutsch
100245;Berg, Tanja;Ich hab dir nie den Himmel versprochen;1971;Deutsch
100246;Berge;Das heiligste der Welt;2019;Deutsch
100247;Bibi und Tina (film);Maedchen gegen Jungs;2016;Deutsch
100248;Biedermann, Jeanette;Besser mit Dir;2019;Deutsch
100249;Bierkapitaen;Lea;2022;Deutsch
100250;Bilderbuch;Bungalow;2017;Deutsch
100251;Black, Roy;Ave Maria;1972;Deutsch
100252;Black, Roy;Bella Bella Marie (Medley);1988;Deutsch
100253;Black, Roy;Du bist nicht allein;1965;Deutsch
100254;Black, Roy;Frag Maria;1991;Deutsch
100255;Black, Roy;Ganz in Weiss;1968;Deutsch
100256;Black, Roy;In Japan geht die Sonne auf;1986;Deutsch
100257;Black, Roy;Sand in deinen augen;1977;Deutsch
